"","Fecha","Bosque","Ronda","SP","X","Y","i","flores_disponibles","Escapos_indivi"
"256","03/05/2021","Pinar Hinojos",7,"Chamaemelum mixtum",5,10,21,1,NA
"257","03/05/2021","Pinar Hinojos",7,"Chamaemelum mixtum",5,10,22,1,NA
"258","03/05/2021","Pinar Hinojos",7,"Cistus libanotis",4,8,NA,1,NA
"259","03/05/2021","Pinar Hinojos",7,"Cistus libanotis",10,8,NA,4,NA
"260","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",1,2,1,1,NA
"261","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",1,2,2,1,NA
"262","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",1,4,NA,1,NA
"263","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",1,5,1,1,NA
"264","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",1,5,2,1,NA
"265","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",1,5,3,1,NA
"266","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",1,5,4,1,NA
"267","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",1,6,1,1,NA
"268","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",1,6,2,1,NA
"269","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",1,6,3,1,NA
"270","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",1,6,4,1,NA
"271","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",1,6,5,1,NA
"272","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",1,7,1,1,NA
"273","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",1,7,2,1,NA
"274","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",1,7,3,1,NA
"275","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",1,7,4,1,NA
"276","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",1,7,5,1,NA
"277","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",1,7,6,1,NA
"278","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",1,7,7,1,NA
"279","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",1,7,8,1,NA
"280","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",1,7,9,1,NA
"281","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",1,7,10,1,NA
"282","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",1,8,1,1,NA
"283","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",1,8,2,1,NA
"284","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",1,8,3,1,NA
"285","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",1,8,4,1,NA
"286","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",1,8,5,1,NA
"287","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",1,8,6,1,NA
"288","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",2,3,NA,1,NA
"289","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",2,4,NA,1,NA
"290","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",2,5,1,1,NA
"291","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",2,5,2,1,NA
"292","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",2,5,3,1,NA
"293","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",2,5,4,1,NA
"294","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",2,5,5,1,NA
"295","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",2,5,6,1,NA
"296","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",2,5,7,1,NA
"297","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",2,5,8,1,NA
"298","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",2,5,9,1,NA
"299","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",2,6,1,1,NA
"300","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",2,6,2,1,NA
"301","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",2,6,3,1,NA
"302","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",2,6,4,1,NA
"303","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",2,7,1,1,NA
"304","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",2,7,2,1,NA
"305","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",2,7,3,1,NA
"306","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",2,7,4,1,NA
"307","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",2,7,5,1,NA
"308","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",2,7,6,1,NA
"309","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",2,7,7,1,NA
"310","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",2,7,8,1,NA
"311","03/05/2021","Pinar Hinojos",7,"Leontodon longirostris",2,7,9,1,NA
