Fecha,Bosque,ronda,Planta,X,Y,labelled_flowers,number_fruits,abortos,Year,Day_ISO,Day,Week_ISO,Week,Periodo
2021-03-23,Pinar Villamanrique Este (Chaparral),3,Cistus_ladanifer,7,9,5,1,4,2021,82,22,12,4,1
2021-03-23,Pinar Villamanrique Este (Chaparral),3,Cistus_ladanifer,8,3,4,3,1,2021,82,22,12,4,1
2021-03-23,Pinar Villamanrique Este (Chaparral),3,Cistus_ladanifer,10,2,5,2,3,2021,82,22,12,4,1
2021-03-23,Pinar Villamanrique Este (Chaparral),3,Cistus_ladanifer,10,6,5,1,4,2021,82,22,12,4,1
2021-03-23,Pinar Villamanrique Este (Chaparral),3,Cistus_ladanifer,10,8,5,3,2,2021,82,22,12,4,1
2021-03-23,Pinar Villamanrique Este (Chaparral),3,Cistus_ladanifer,10,9,5,0,5,2021,82,22,12,4,1
2021-03-23,Pinar Villamanrique Este (Chaparral),3,Cistus_ladanifer,10,10,5,0,5,2021,82,22,12,4,1
2021-03-23,Pinar Villamanrique Este (Chaparral),3,Cistus_salviifolius,6,6,5,5,0,2021,82,22,12,4,1
2021-03-23,Pinar Villamanrique Este (Chaparral),3,Cistus_salviifolius,6,8,5,4,1,2021,82,22,12,4,1
2021-03-23,Pinar Villamanrique Este (Chaparral),3,Cistus_salviifolius,7,8,3,0,3,2021,82,22,12,4,1
2021-03-23,Pinar Villamanrique Este (Chaparral),3,Cistus_salviifolius,7,9,5,4,1,2021,82,22,12,4,1
2021-03-23,Pinar Villamanrique Este (Chaparral),3,Cistus_salviifolius,9,6,5,4,1,2021,82,22,12,4,1
2021-04-05,Pinar Villamanrique Este (Chaparral),4,Cistus_ladanifer,4,5,2,1,1,2021,95,35,14,5,2
2021-04-05,Pinar Villamanrique Este (Chaparral),4,Cistus_ladanifer,5,1,2,1,1,2021,95,35,14,5,2
2021-04-05,Pinar Villamanrique Este (Chaparral),4,Cistus_ladanifer,5,2,1,1,0,2021,95,35,14,5,2
2021-04-05,Pinar Villamanrique Este (Chaparral),4,Cistus_ladanifer,6,5,1,1,0,2021,95,35,14,5,2
2021-04-05,Pinar Villamanrique Este (Chaparral),4,Cistus_ladanifer,7,9,20,15,5,2021,95,35,14,5,2
2021-04-05,Pinar Villamanrique Este (Chaparral),4,Cistus_ladanifer,7,10,1,1,0,2021,95,35,14,5,2
2021-04-05,Pinar Villamanrique Este (Chaparral),4,Cistus_ladanifer,10,8,2,0,2,2021,95,35,14,5,2
2021-04-05,Pinar Villamanrique Este (Chaparral),4,Cistus_ladanifer,10,9,5,4,1,2021,95,35,14,5,2
2021-04-05,Pinar Villamanrique Este (Chaparral),4,Cistus_salviifolius,1,8,5,5,0,2021,95,35,14,5,2
2021-04-05,Pinar Villamanrique Este (Chaparral),4,Cistus_salviifolius,1,10,5,5,0,2021,95,35,14,5,2
2021-04-05,Pinar Villamanrique Este (Chaparral),4,Cistus_salviifolius,2,1,5,4,1,2021,95,35,14,5,2
2021-04-05,Pinar Villamanrique Este (Chaparral),4,Cistus_salviifolius,3,2,5,5,0,2021,95,35,14,5,2
2021-04-05,Pinar Villamanrique Este (Chaparral),4,Cistus_salviifolius,3,8,5,1,4,2021,95,35,14,5,2
2021-04-05,Pinar Villamanrique Este (Chaparral),4,Cistus_salviifolius,4,2,5,4,1,2021,95,35,14,5,2
2021-04-05,Pinar Villamanrique Este (Chaparral),4,Cistus_salviifolius,6,6,5,4,1,2021,95,35,14,5,2
2021-04-05,Pinar Villamanrique Este (Chaparral),4,Cistus_salviifolius,7,9,5,4,1,2021,95,35,14,5,2
2021-04-05,Pinar Villamanrique Este (Chaparral),4,Cistus_salviifolius,8,3,5,2,3,2021,95,35,14,5,2
