Year,Day_ISO,Week_ISO,Week,Periodo_hora,Bosque,Codigo_vuelo,Codigo_within_sequence,Polinizador,Planta,X,Y
2021,90,13,5,12:20:00,Pinar Hinojos,HV4-01,9,Episyrphus_balteatus,Halimium_calycinum,8,2
2021,90,13,5,12:20:00,Pinar Hinojos,HV4-01,10,Episyrphus_balteatus,Halimium_calycinum,8,2
2021,90,13,5,12:20:00,Pinar Hinojos,HV4-01,11,Episyrphus_balteatus,Halimium_calycinum,8,2
2021,90,13,5,14:20:00,Pinar Hinojos,HV4-02,1,Anthophora_sp,Halimium_calycinum,8,2
2021,90,13,5,14:20:00,Pinar Hinojos,HV4-02,2,Anthophora_sp,Halimium_calycinum,8,2
2021,90,13,5,14:20:00,Pinar Hinojos,HV4-02,3,Anthophora_sp,Halimium_calycinum,8,2
2021,90,13,5,14:20:00,Pinar Hinojos,HV4-02,1,Anthophora_sp,Halimium_calycinum,9,4
2021,90,13,5,14:20:00,Pinar Hinojos,HV4-02,2,Anthophora_sp,Halimium_calycinum,9,4
2021,90,13,5,14:20:00,Pinar Hinojos,HV4-02,3,Anthophora_sp,Halimium_calycinum,9,4
2021,90,13,5,14:20:00,Pinar Hinojos,HV4-02,1,Anthophora_sp,Halimium_calycinum,8,4
2021,90,13,5,14:20:00,Pinar Hinojos,HV4-02,2,Anthophora_sp,Halimium_calycinum,8,4
2021,99,14,6,12:10:00,Pinar Hinojos,HV5-01,1,Lasioglossum_morio,Cistus_libanotis,10,7
2021,99,14,6,12:10:00,Pinar Hinojos,HV5-01,2,Lasioglossum_morio,Cistus_libanotis,10,7
2021,99,14,6,12:10:00,Pinar Hinojos,HV5-01,3,Lasioglossum_morio,Cistus_libanotis,10,7
2021,99,14,6,12:10:00,Pinar Hinojos,HV5-01,4,Lasioglossum_morio,Cistus_libanotis,10,7
2021,99,14,6,12:10:00,Pinar Hinojos,HV5-01,5,Lasioglossum_morio,Cistus_libanotis,10,7
2021,99,14,6,12:20:00,Pinar Hinojos,HV5-02,1,Andrena_alluaudi,Aetheorhiza_bulbosa,10,8
2021,99,14,6,12:20:00,Pinar Hinojos,HV5-02,1,Andrena_alluaudi,Aetheorhiza_bulbosa,10,7
2021,99,14,6,12:20:00,Pinar Hinojos,HV5-02,1,Andrena_alluaudi,Aetheorhiza_bulbosa,8,2
2021,99,14,6,12:45:00,Pinar Hinojos,HV5-03,1,Lasioglossum_morio,Aetheorhiza_bulbosa,10,7
2021,99,14,6,12:45:00,Pinar Hinojos,HV5-03,1,Lasioglossum_morio,Cistus_libanotis,10,7
2021,99,14,6,12:45:00,Pinar Hinojos,HV5-03,2,Lasioglossum_morio,Cistus_libanotis,10,7
2021,99,14,6,12:45:00,Pinar Hinojos,HV5-03,3,Lasioglossum_morio,Cistus_libanotis,10,7
2021,99,14,6,12:45:00,Pinar Hinojos,HV5-03,4,Lasioglossum_morio,Cistus_libanotis,10,7
2021,99,14,6,15:00:00,Pinar Hinojos,HV5-04,1,Anthophora_sp,Halimium_calycinum,5,5
2021,99,14,6,15:00:00,Pinar Hinojos,HV5-04,2,Anthophora_sp,Halimium_calycinum,5,5
2021,99,14,6,15:00:00,Pinar Hinojos,HV5-04,1,Anthophora_sp,Muscari_comosum,6,2
2021,99,14,6,15:00:00,Pinar Hinojos,HV5-04,2,Anthophora_sp,Muscari_comosum,6,2
2021,99,14,6,15:00:00,Pinar Hinojos,HV5-04,3,Anthophora_sp,Muscari_comosum,6,2
2021,99,14,6,15:00:00,Pinar Hinojos,HV5-04,4,Anthophora_sp,Muscari_comosum,6,2
