Fecha,Bosque,ronda,Planta,X,Y,labelled_flowers,number_fruits,abortos,Year,Day_ISO,Day,Week_ISO,Week,Periodo,Subplot,fruitset,Subplot_Plant_Label,Visits_tot,homo_motif,hete_motif,prob_consp_step,poll_richness,plant_richness,total_number_flowers,unloyal_steps,poll_abundance,log_prob_cons
2021-04-19,Pinar Aznalcazar,5,Cistus_crispus,1,1,4,4,0,2021,109,49,16,7,April,1-1,0.999,1-1 Cistus_crispus,22,8,0,0.9999899234585236,2,1,6,0,2,-4.376208408449006e-6
2021-04-19,Pinar Aznalcazar,5,Cistus_crispus,1,2,4,4,0,2021,109,49,16,7,April,1-2,0.999,1-2 Cistus_crispus,6,8,0,0.999995493935569,1,1,4,0,1,-1.9569633266021394e-6
2021-04-19,Pinar Aznalcazar,5,Cistus_crispus,1,9,5,2,3,2021,109,49,16,7,April,1-9,0.4,1-9 Cistus_crispus,12,22,4,0.9999972464153442,2,1,5,1,3,-1.1958682679502827e-6
2021-04-19,Pinar Aznalcazar,5,Cistus_crispus,2,6,5,5,0,2021,109,49,16,7,April,2-6,0.999,2-6 Cistus_crispus,14,20,0,0.9999972989809978,2,1,5,0,3,-1.1730392323891623e-6
2021-04-19,Pinar Aznalcazar,5,Cistus_crispus,4,7,6,3,3,2021,109,49,16,7,April,4-7,0.5,4-7 Cistus_crispus,180,80,12,0.9999972990082808,5,1,3,1,13,-1.1730273834727115e-6
2021-04-19,Pinar Aznalcazar,5,Cistus_crispus,5,7,3,3,0,2021,109,49,16,7,April,5-7,0.999,5-7 Cistus_crispus,106,82,10,0.9999858108263214,6,1,3,0,13,-6.162323550612469e-6
2021-04-19,Pinar Aznalcazar,5,Cistus_crispus,6,2,2,2,0,2021,109,49,16,7,April,6-2,0.999,6-2 Cistus_crispus,2,14,0,0.9999941684774997,1,1,2,0,1,-2.532605427468993e-6
2021-04-19,Pinar Aznalcazar,5,Cistus_crispus,6,7,4,4,0,2021,109,49,16,7,April,6-7,0.999,6-7 Cistus_crispus,20,36,6,0.9999962545758775,4,2,5,0,5,-1.6266200749882374e-6
2021-04-19,Pinar Aznalcazar,5,Cistus_crispus,7,3,1,1,0,2021,109,49,16,7,April,7-3,0.999,7-3 Cistus_crispus,2,14,0,0.9999972999810277,1,1,1,0,1,-1.1726049237282622e-6
2021-04-19,Pinar Aznalcazar,5,Cistus_crispus,8,7,3,3,0,2021,109,49,16,7,April,8-7,0.999,8-7 Cistus_crispus,32,52,10,0.9999973023722962,3,1,18,0,5,-1.1715664062040077e-6
2021-04-28,Pinar Aznalcazar,6,Cistus_crispus,4,7,5,5,0,2021,118,58,17,9,April,4-7,0.999,4-7 Cistus_crispus,190,85,12,0.9999972990082808,3,1,52,0,3,-1.1730273834727115e-6
2021-05-07,Pinar Aznalcazar,7,Cistus_crispus,1,1,5,5,0,2021,127,67,18,10,May,1-1,0.999,1-1 Cistus_crispus,25,11,4,0.9999962392419223,1,2,34,0,2,-1.6332795521182215e-6
2021-05-07,Pinar Aznalcazar,7,Cistus_crispus,1,2,5,4,1,2021,127,67,18,10,May,1-2,0.8,1-2 Cistus_crispus,17,13,4,0.9999973351049557,2,2,8,1,4,-1.1573507547015138e-6
2021-05-07,Pinar Aznalcazar,7,Cistus_crispus,1,3,5,5,0,2021,127,67,18,10,May,1-3,0.999,1-3 Cistus_crispus,4,4,4,0.9999974155990898,2,2,20,1,4,-1.1223925046676072e-6
2021-05-07,Pinar Aznalcazar,7,Cistus_crispus,2,1,5,5,0,2021,127,67,18,10,May,2-1,0.999,2-1 Cistus_crispus,7,3,5,0.9999973480875018,2,2,56,0,6,-1.151712491559068e-6
2021-05-07,Pinar Aznalcazar,7,Cistus_crispus,2,3,5,5,0,2021,127,67,18,10,May,2-3,0.999,2-3 Cistus_crispus,20,6,7,0.9999974766918334,4,2,38,5,7,-1.0958601955082258e-6
2021-05-07,Pinar Aznalcazar,7,Cistus_crispus,2,6,5,5,0,2021,127,67,18,10,May,2-6,0.999,2-6 Cistus_crispus,22,29,0,0.9999975991373389,2,1,19,0,2,-1.0426826572025826e-6
2021-05-07,Pinar Aznalcazar,7,Cistus_crispus,4,7,5,3,2,2021,127,67,18,10,May,4-7,0.6,4-7 Cistus_crispus,215,101,16,0.999997526617981,2,1,44,2,4,-1.0741774909056928e-6
2021-05-07,Pinar Aznalcazar,7,Cistus_crispus,7,3,5,3,2,2021,127,67,18,10,May,7-3,0.6,7-3 Cistus_crispus,3,19,0,0.999997614390147,1,1,9,0,1,-1.0360584309458805e-6
2021-05-19,Pinar Aznalcazar,8,Halimium_halimifolium,9,6,10,3,7,2021,139,79,20,12,May,9-6,0.3,9-6 Halimium_halimifolium,1,0,2,0.9999921661007484,1,1,12,1,1,-3.402232543159918e-6
2021-03-02,Pinar Hinojos,1,Halimium_calycinum,8,1,5,4,1,2021,61,1,09,1,March,8-1,0.8,8-1 Halimium_calycinum,8,3,1,0.6800015590896742,1,1,9,0,2,-0.1674900915536665
2021-03-11,Pinar Hinojos,2,Halimium_calycinum,2,1,5,4,1,2021,70,10,10,2,March,2-1,0.8,2-1 Halimium_calycinum,8,0,0,0.679999997743591,3,1,5,0,3,-0.1674910887348607
2021-03-11,Pinar Hinojos,2,Halimium_calycinum,5,4,2,2,0,2021,70,10,10,2,March,5-4,0.999,5-4 Halimium_calycinum,2,1,0,0.5200138718703667,1,1,2,0,1,-0.2839850709875107
2021-03-19,Pinar Hinojos,3,Halimium_calycinum,5,4,4,4,0,2021,78,18,11,3,March,5-4,0.999,5-4 Halimium_calycinum,17,4,0,0.5200138718703667,3,1,4,0,3,-0.2839850709875107
2021-03-19,Pinar Hinojos,3,Halimium_calycinum,8,1,9,7,2,2021,78,18,11,3,March,8-1,0.7777777777777778,8-1 Halimium_calycinum,14,3,1,0.6800015590896742,1,1,28,0,1,-0.1674900915536665
2021-03-31,Pinar Hinojos,4,Halimium_calycinum,4,5,9,4,5,2021,90,30,13,5,March,4-5,0.4444444444444444,4-5 Halimium_calycinum,5,2,0,0.8399999954872479,1,1,74,0,1,-0.07572071627128898
2021-03-31,Pinar Hinojos,4,Halimium_calycinum,5,4,3,1,2,2021,90,30,13,5,March,5-4,0.3333333333333333,5-4 Halimium_calycinum,31,8,0,0.5200138718703667,1,1,3,0,1,-0.2839850709875107
