Bosque,X,Y,Planta,Subplot_Plant_Label,Periodo,labelled_flowers,number_fruits,fruitset,Visits_tot,homo_motif,hete_motif,prob_consp_step,poll_richness,plant_richness,total_number_flowers,total_steps,unloyal_steps,total_sequences,prop_homo,prop_hete,prop_unloyal,f_prob,f_flowers
Pinar Puebla,9,6,Cistus_crispus,9-6 Cistus_crispus,April,4,3,0.75,6,15,0,0.9325619012687698,1,1,8,2,0,2,1,0,0,0.9325619012687698,8
Pinar Puebla,9,7,Cistus_crispus,9-7 Cistus_crispus,April,2,2,0.999,9,9,3,0.7738624139732815,1,3,23,3,1,1,0.75,0.25,0.3333333333333333,0.7738624139732815,23
Pinar Puebla,10,7,Cistus_crispus,10-7 Cistus_crispus,April,4,4,0.999,21,18,3,0.8825089212812105,2,2,15,6,0,2,0.8571428571428571,0.14285714285714285,0,0.8825089212812105,15
Pinar Villamanrique Este (Chaparral),1,2,Cistus_crispus,1-2 Cistus_crispus,April,5,3,0.6,16,36,0,0.49646477101437186,2,2,17,4,0,3,1,0,0,0.49646477101437186,17
Pinar Villamanrique Este (Chaparral),1,2,Cistus_crispus,1-2 Cistus_crispus,May,5,0,0.001,71,78,0,0.8729751203760492,5,1,21,19,0,6,1,0,0,0.8729751203760492,21
Pinar Villamanrique Este (Chaparral),1,3,Cistus_crispus,1-3 Cistus_crispus,May,10,8,0.8,342,188,4,0.999689329596818,9,1,40,98,0,16,0.9791666666666666,0.020833333333333332,0,0.999689329596818,40
Pinar Villamanrique Este (Chaparral),1,4,Cistus_crispus,1-4 Cistus_crispus,April,5,4,0.8,20,28,4,0.5637022788723124,2,1,7,5,0,2,0.875,0.125,0,0.5637022788723124,7
Pinar Villamanrique Este (Chaparral),1,4,Cistus_crispus,1-4 Cistus_crispus,May,10,10,0.999,332,160,4,0.7857249764510532,9,1,17,95,0,15,0.975609756097561,0.024390243902439025,0,0.7857249764510532,17
Pinar Villamanrique Este (Chaparral),1,7,Cistus_crispus,1-7 Cistus_crispus,May,11,9,0.8181818181818182,85,59,0,0.9264306169455523,2,1,26,22,0,3,1,0,0,0.9264306169455523,26
Pinar Villamanrique Este (Chaparral),2,3,Cistus_crispus,2-3 Cistus_crispus,May,10,9,0.9,264,177,4,0.9603140267179412,7,1,28,75,0,14,0.9779005524861878,0.022099447513812154,0,0.9603140267179412,28
